	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_1962	71	123.7306775	7039	0.769426049	0.001338688	0.64668008
OTU_2016	3	0	0	0.01189234	0.00106383	1
OTU_2067	52	76.51201595	3638	0.618066053	0.001315789	0.795625943
OTU_2093	5	0	0	0.024298002	0.001036269	1
OTU_2117	1	0	0	0.002303978	0.000829876	0
OTU_2129	2	0	0	0.021233908	0.000917431	1
OTU_2164	70	130.8488274	6939	0.789106231	0.001349528	0.693581781
OTU_2170	27	3.8572879	191	0.109094399	0.001145475	0.905982906
OTU_2204	22	3.596437864	264	0.294763928	0.001150748	0.922077922
OTU_2279	2	0	0	0.004250457	0.000896861	1
OTU_2370	5	0	0	0.006700504	0.000938967	1
OTU_2413	2	0	0	0.004849724	0.000861326	1
OTU_2462	6	0	0	0.018720219	0.000968054	1
OTU_2531	7	0.1	1	0.013210259	0.000953289	0.952380952
OTU_2549	6	0	0	0.08444451	0.001028807	1
OTU_2619	2	0	0	0.008148634	0.000960615	1
OTU_2828	26	23.92684748	661	0.089057246	0.00117096	0.889230769
OTU_2832	3	0	0	0.006352522	0.000962464	1
OTU_2842	22	0	0	0.31279655	0.00106383	1
OTU_2853	53	25.89139639	814	0.634700298	0.001166861	0.827285922
OTU_3041	6	0	0	0.091871209	0.001082251	1
OTU_3125	13	0	0	0.042445028	0.001010101	1
OTU_3219	8	0	0	0.021851075	0.000968992	1
OTU_3232	14	7.09320326	398	0.174365762	0.001182033	0.846153846
OTU_3239	22	8.875963962	348	0.081270891	0.001091703	0.922077922
OTU_3334	3	0	0	0.042975947	0.001	1
OTU_3400	32	1.025793791	31	0.423278478	0.001075269	0.953629032
OTU_3698	28	0.667661544	64	0.380490628	0.001119821	0.984126984
OTU_3766	17	0	0	0.248818143	0.001049318	1
OTU_3862	7	0	0	0.022624951	0.000969932	1
OTU_3878	1	0	0	0.014823138	0.001015228	0
OTU_4109	2	0	0	0.029108775	0.001003009	1
OTU_4384	18	4.143391922	214	0.064354214	0.001150748	0.928104575
OTU_4621	4	0	0	0.059333991	0.001015228	1
OTU_5172	1	0	0	0.008012136	0.00094162	0
OTU_5193	9	0	0	0.129360096	0.001088139	1
OTU_6134	19	0	0	0.270422638	0.001059322	1
OTU_6921	10	0	0	0.149654818	0.001028807	1
